N,D,RB_Tot_Rot,WAVL_Tot_Rot,RB_Tot_Path,WAVL_Tot_Path
1000000,10000,5000,4996,10009,4988
1000000,30000,15000,14994,30007,14987
1000000,50000,25000,24994,50008,24986
1000000,70000,35000,34995,70008,34986
1000000,90000,45000,44995,90005,44986
1000000,110000,55000,54994,110005,54988
1000000,130000,65000,64996,130003,64985
1000000,150000,75000,74995,150006,74984
1000000,170000,85000,84995,170009,84984
1000000,190000,95000,94993,190006,94986
1000000,210000,105000,104993,210007,104984
1000000,230000,115000,114995,230007,114984
1000000,250000,125000,124995,250007,124983
1000000,270000,134999,134995,270006,134985
1000000,290000,144999,144993,290006,144985
1000000,310000,154999,154994,310004,154986
1000000,330000,164999,164995,330009,164982
1000000,350000,174999,174992,350005,174987
1000000,370000,184999,184992,370006,184983
1000000,390000,194999,194994,390003,194985
1000000,410000,204999,204994,410008,204983
1000000,430000,214999,214994,430004,214984
1000000,450000,224999,224994,450003,224985
1000000,470000,234999,234994,470003,234985
1000000,490000,244999,244995,490005,244983
1000000,510000,254999,254995,510006,254983
1000000,530000,264999,264994,530006,264983
1000000,550000,274999,274994,550005,274983
1000000,570000,284999,284993,570005,284983
1000000,590000,294999,294995,590007,294983
1000000,610000,304999,304993,610003,304983
1000000,630000,314999,314993,630002,314984
1000000,650000,324999,324994,650003,324984
1000000,670000,334998,334993,670004,334983
1000000,690000,344998,344993,690004,344982
1000000,710000,354998,354992,710002,354987
1000000,730000,364998,364993,730004,364983
1000000,750000,374998,374993,750002,374985
1000000,770000,384998,384995,769999,384983
1000000,790000,394998,394995,790001,394983
1000000,810000,404998,404994,810003,404983
1000000,830000,414997,414992,830003,414982
1000000,850000,424997,424994,850002,424982
1000000,870000,434997,434992,870001,434983
1000000,890000,444997,444992,890002,444982
1000000,910000,454997,454991,910000,454986
1000000,930000,464996,464991,930000,464985
1000000,950000,474996,474994,949995,474984
1000000,970000,484995,484991,969998,484983
1000000,990000,494993,494989,989995,494987
